Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Colegio Saint John's Villa Academy,La Reina,"Alcalde Manuel de La Lastra 2351, La Reina, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4331316,-70.5545685,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJW6xM4F7OYpYR3rccMm1Ex8I
Mall Plaza Egaña,La Reina,"Av. Larrain 5862, La Reina, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4523407,-70.5694987,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJk_9sOUrOYpYRA6Arf_OmqD0
"Patio La Reina, La Reina",La Reina,"Av. Alcalde Fernando Castillo Velasco 8751, La Reina, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4518522,-70.54063610000001,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ0__k5BLOYpYRjTZFcZhkCW8
Estadio Banco Central,La Reina,"Príncipe de Gales 6030, La Reina, Región Metropolitana","['stadium', 'point_of_interest', 'establishment']",-33.4373338,-70.5707422,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJ3acDXlTOYpYRyN9BDmhbdGk
Fundación Gantz,Pudahuel,"El Lazo 8545, Pudahuel, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.4382118,-70.7475532,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJn2rXO8fDYpYRoKAEuCzWZLs
CESFAM Dr. Gustavo Molina Guzmán,Pudahuel,"Av. Laguna Sur 8759, Pudahuel, Región Metropolitana","['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",-33.458125,-70.76092,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJM3ewf6zDYpYRq9OjW4FBg_Y
Prodial Ltda.,Pudahuel,"San Daniel 9463-9473, Pudahuel, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.4289891,-70.76608639999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJpfsg5yzCYpYRXYOUdgOuo_0
FBO AVIASUR,Pudahuel,"Aviador David Fuentes Norte 2205, Aviador David Fuentes 2205, Pudahuel, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.3919727,-70.792878,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJt0vdKV65YpYR9LpZdwVzjD4
Biblioteca Pública N°105 Gala Torres,Pudahuel,"Av, San Pablo 9078, Pudahuel, Región Metropolitana","['library', 'point_of_interest', 'establishment']",-33.4419099,-70.76215049999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/library-71.png,ChIJkb0lncrDYpYR5ANYDHTq4us
Style Outlet,Pudahuel,"Claudio Arrau 6910, Pudahuel, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4553706,-70.73375469999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ9capPZzDYpYRPWQLPujmvCg
Paseo Barrancas,Pudahuel,"Teniente Cruz 570, Pudahuel, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4548239,-70.739054,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ_TYVNZ_DYpYRarF_uYjgHXE
Fernapet,Pudahuel,"Camino San Pedro 9677, Pudahuel, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4519652,-70.783208,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJL8BwiLzDYpYRfmhFseZLV7M
Bodeganga UMIX,Pudahuel,"9020000, Pudahuel, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4288197,-70.77696279999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJy-fKWeXDYpYRsRKk-2UZ7Do
Museo Chileno de Arte Precolombino,Santiago,"Bandera 361, Santiago, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4389304,-70.6521053,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJ58cpbKTFYpYRw3pfdBEEHEQ
Municipalidad de Cerro Navia,Cerro Navia,"Del Consistorial 6645, Cerro Navia, Región Metropolitana","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",-33.4341984,-70.7290278,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJL3jAYu3DYpYRF7opY5XZQGY
Universo Chino,Cerro Navia,"Mapocho 6110D, Quinta Normal, Cerro Navia, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4256768,-70.7192905,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJg7MMmffDYpYRRE1-4u3Sp1A
Centro Artesanal Pueblito Los Dominicos,Las Condes,"Apoquindo 9085, Las Condes, Región Metropolitana","['tourist_attraction', 'point_of_interest', 'establishment']",-33.408414,-70.541708,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJf2w7OpbOYpYRVIl7ACCtOEY
Parque Araucano,Las Condes,"Av. Pdte. Riesco 5877, Las Condes, Región Metropolitana","['tourist_attraction', 'park', 'point_of_interest', 'establishment']",-33.402213,-70.57274029999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJNUsKwiXPYpYR7pdrQ2v-ntE
Parque Aguas de San Ramón,Las Condes,"Alvaro Casanova 2851, Las Condes, Región Metropolitana","['tourist_attraction', 'park', 'point_of_interest', 'establishment']",-33.44492779999999,-70.45839099999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJrXkx69DNYpYRdwuKZrj_PRA
Sky Costanera,Providencia,"Andrés Bello 2425, Providencia, Región Metropolitana","['tourist_attraction', 'point_of_interest', 'establishment']",-33.4167134,-70.6067386,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJN4V0fkLPYpYRm2jflwE_YSA
Museo Interactivo Las Condes (MUI),Las Condes,"Isidora Goyenechea 3400, Las Condes, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4143982,-70.5953876,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJh1I5zD_PYpYRs277RZ4bOyA
Casona Santa Rosa de Apoquindo,Las Condes,"Padre Hurtado Sur 1195, Las Condes, Región Metropolitana","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-33.4190416,-70.5392133,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJL1R2YIXOYpYRCSUJS6wMifI
KidZania Santiago,Las Condes,"Av. Pdte. Riesco 5330, Las Condes, Región Metropolitana","['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4031576,-70.5753065,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJ-WfJ6SfPYpYRltM5rIfynVk
Observatorio Astronómico Nacional,Las Condes,"Camino del Observatorio, Santiago, Las Condes, Región Metropolitana","['tourist_attraction', 'point_of_interest', 'establishment']",-33.396479,-70.5370116,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJIVGKP6XOYpYR5wE8F0-VRfs
Costanera Center,Providencia,"Avenida Andrés Bello 2425, Providencia, Región Metropolitana","['tourist_attraction', 'point_of_interest', 'establishment']",-33.4179935,-70.6063901,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJUUmF1GnPYpYR39Cq7y_vh5o
Parque Padre Hurtado,La Reina,"Av. Francisco Bilbao, 8105, La Reina, Región Metropolitana","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.43178,-70.5453808,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJe59sA2DOYpYRhpD6mzVeDDE
Parque Natural San Carlos de Apoquindo,La Reina,Región Metropolitana,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",-33.4033797,-70.476582,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJt7qVhkLMYpYRNh8MnBtvUP4
La Chascona,Providencia,"Fernando Márquez de La Plata 0192, Santiago, Providencia, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4311212,-70.6344175,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJbWHLF5DFYpYRFqGp8hFH-04
