Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Estadio Regional de Coyhaique,Coyhaique,"Veintiuno de Mayo 1671, Coyhaique, Aysén","['stadium', 'point_of_interest', 'establishment']",-45.5761592,-72.04949979999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/stadium-71.png,ChIJ2RoRi5nE8r0RsbNQjvzemng
Turismo La Huella,Chile Chico,"baquedano 8, Chile Chico, Aysén","['tourist_attraction', 'point_of_interest', 'establishment']",-46.5376173,-71.7294564,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJDU9Q7UUr7b0R0KOj_CpXgiU
Ilustre Municipalidad de Chile Chico,Chile Chico,"Bernardo O'higgins 333, Chile Chico, Aysén","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",-46.538824,-71.726801,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJGSNdekYr7b0RB8arthYv7sw
CASA DE LA CULTURA,Chile Chico,"O'Higgins 426, Chile Chico, Aysén","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-46.5398001,-71.7245556,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJMdg88EYr7b0RQqqOz4VGVt8
PATAGON´S TURISMO,Cochrane,"Aysén CL, Golondrinas 436 A, Cochrane, Aysén","['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",-47.2541196,-72.5741175,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJHYmj6u6Nk70RKKNCpsuXveY
Corona,Coyhaique,"Arturo Prat 429, Coyhaique, Aysén","['shopping_mall', 'point_of_interest', 'establishment']",-45.5735246,-72.0716818,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJY0SqpsHE8r0RnAlMi7E8iCE
Planeta Kids,Coyhaique,"Arturo Prat 401-499, Coyhaique, Aysén","['shopping_mall', 'point_of_interest', 'establishment']",-45.57406,-72.07192479999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJsStZkcHE8r0RtUsXXJocNqI
Tecno Center,Coyhaique,"Arturo Prat 496-390, Coyhaique, Aysén","['shopping_mall', 'point_of_interest', 'establishment']",-45.57388820000001,-72.0717535,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJqZ1Fuo3F8r0RMoCJ04O2uo4
Patio Condell,Coyhaique,"Carlos Condell 297, Coyhaique, Aysén","['shopping_mall', 'point_of_interest', 'establishment']",-45.5707959,-72.0676177,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJw2vQOInF8r0R1WoP_cxWwlY
Museo Regional de Aysén,Coyhaique Alto,"Km. 3 Camino a, Coyhaique, Coyhaique Alto, Aysén","['museum', 'point_of_interest', 'establishment']",-45.5727728,-72.0260454,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJxXrmdmbD8r0RpVRH9stOOSk
